DCA_Code,Common_Name,Scientific_Name,Category
10003,wasp,<wasp>,Miscellaneous Insects and Allies
10010,Allegheny mound ant,Formica exsectoides,Miscellaneous Insects and Allies
10011,ants,<Formicidae>,Miscellaneous Insects and Allies
10024,Eurytomid wasps,Eurytoma spp.,Miscellaneous Insects and Allies
10025,blister beetle,<Meloidae>,Miscellaneous Insects and Allies
10601,clerid beetle,<Cleridae>,Miscellaneous Insects and Allies
10602,lacewings,<lacewings>,Miscellaneous Insects and Allies
10603,blackbellied clerid,Enoclerus lecontei,Miscellaneous Insects and Allies
10604,redbellied clerid,Enoclerus sphegeus,Miscellaneous Insects and Allies
10605,red wood ant,Formica rufa,Miscellaneous Insects and Allies
10606,western yellowjacket,Vespula pennsylvanica,Miscellaneous Insects and Allies
10800,"other miscellaneous insect or ally, known (code pending)","<other miscellaneous insect or ally, known (code pending)>",Miscellaneous Insects and Allies
10801,other predatory insect or ally (known),<other predatory insect or ally (known)>,Miscellaneous Insects and Allies
10900,unknown miscellaneous insect or ally,<unknown miscellaneous insect or ally>,Miscellaneous Insects and Allies
10901,unknown predator insect or ally,<unknown predator insect or ally>,Miscellaneous Insects and Allies
11001,roundheaded pine beetle,Dendroctonus adjunctus,Bark Beetles
11002,western pine beetle,Dendroctonus brevicomis,Bark Beetles
11003,southern pine beetle,Dendroctonus frontalis,Bark Beetles
11004,Jeffrey pine beetle,Dendroctonus jeffreyi,Bark Beetles
11005,lodgepole pine beetle,Dendroctonus murrayanae,Bark Beetles
11006,mountain pine beetle,Dendroctonus ponderosae,Bark Beetles
11007,Douglas-fir beetle,Dendroctonus pseudotsugae,Bark Beetles
11008,boreal spruce beetle,Dendroctonus punctatus,Bark Beetles
11009,spruce beetle,Dendroctonus rufipennis,Bark Beetles
11010,eastern larch beetle,Dendroctonus simplex,Bark Beetles
11011,black turpentine beetle,Dendroctonus terebrans,Bark Beetles
11012,red turpentine beetle,Dendroctonus valens,Bark Beetles
11013,goldhaired spruce engraver,Dryocoetes affaber,Bark Beetles
11014,<Dryocoetes autographus>,Dryocoetes autographus,Bark Beetles
11015,western balsam bark beetle,Dryocoetes confusus,Bark Beetles
11016,<Dryocoetes sechelti>,Dryocoetes sechelti,Bark Beetles
11017,ash bark beetles,Hylesinus spp.,Bark Beetles
11018,native elm bark beetle,Hylurgopinus rufipes,Bark Beetles
11019,pinyon ips,Ips confusus,Bark Beetles
11020,small southern pine engraver,Ips avulsus,Bark Beetles
11021,sixspined ips,Ips calligraphus,Bark Beetles
11022,emarginate ips,Ips emarginatus,Bark Beetles
11023,eastern fivespined ips,Ips grandicollis,Bark Beetles
11024,<Orthotomicus latidens>,Orthotomicus latidens,Bark Beetles
11025,Arizona fivespined ips,Ips lecontei,Bark Beetles
11026,false pine engraver,Pseudips mexicanus,Bark Beetles
11027,California fivespined ips,Ips paraconfusus,Bark Beetles
11028,northern spruce engraver,Ips perturbatus,Bark Beetles
11029,pine engraver,Ips pini,Bark Beetles
11030,ips engraver beetles,Ips spp.,Bark Beetles
11031,lesser spruce engraver,Ips tridens,Bark Beetles
