HOST_CODE,HOST Common Name
5192,Green Alder
9902,Thinleaf Alder
9904,Sitka Alder
351,Red Alder
9904,Sitka Alder
351,Red Alder
747,Black Cottonwood
9904,Sitka Alder
9905,Kenai Birch
9914,Alaska Paper Birch
5192,Green Alder
9902,Thinleaf Alder
9908,Feltleaf Willow
9909,Littletree Willow
9914,Alaska Paper Birch
71,Tamarack (Native)
94,White Spruce
95,Black Spruce
94,White Spruce
95,Black Spruce
923,Bebb Willow
928,Scouler'S Willow
9908,Feltleaf Willow
9909,Littletree Willow
9910,Grayleaf Willow
923,Bebb Willow
928,Scouler'S Willow
9909,Littletree Willow
9912,Pacific Willow
928,Scouler'S Willow
9908,Feltleaf Willow
9910,Grayleaf Willow
9911,Dune Willow
9913,Sitka Willow
98,Sitka Spruce
263,Western Hemlock
264,Mountain Hemlock
94,White Spruce
98,Sitka Spruce
263,Western Hemlock
264,Mountain Hemlock
9906,Lutz Spruce
263,Western Hemlock
264,Mountain Hemlock
94,White Spruce
98,Sitka Spruce
101,Whitebark Pine
113,Limber Pine
19,Subalpine Fir
202,Douglas-Fir
15,White Fir
17,Grand Fir
19,Subalpine Fir
202,Douglas-Fir
263,Western Hemlock
321,Rocky Mountain Maple
746,Quaking Aspen
763,Chokecherry
741,Balsam Poplar
742,Eastern Cottonwood
749,Narrowleaf Cottonwood
921,Peachleaf Willow
923,Bebb Willow
928,Scouler'S Willow
17,Grand Fir
19,Subalpine Fir
202,Douglas-Fir
108,Lodgepole Pine
122,Ponderosa Pine
17,Grand Fir
19,Subalpine Fir
93,Engelmann Spruce
202,Douglas-Fir
101,Whitebark Pine
102,Rocky Mountain Bristlecone Pine
113,Limber Pine
15,White Fir
19,Subalpine Fir
93,Engelmann Spruce
96,Blue Spruce
202,Douglas-Fir
19,Subalpine Fir
93,Engelmann Spruce
742,Eastern Cottonwood
745,Plains Cottonwood
747,Black Cottonwood
748,Fremont Cottonwood
749,Narrowleaf Cottonwood
63,Alligator Juniper
65,Utah Juniper
66,Rocky Mountain Juniper
69,Oneseed Juniper
65,Utah Juniper
66,Rocky Mountain Juniper
69,Oneseed Juniper
15,White Fir
93,Engelmann Spruce
202,Douglas-Fir
15,White Fir
202,Douglas-Fir
15,White Fir
18,Corkbark Fir
112,Apache Pine
118,Chihuahuan Pine
122,Ponderosa Pine
135,Arizona Pine
51,Arizona Cypress
63,Alligator Juniper
65,Utah Juniper
66,Rocky Mountain Juniper
69,Oneseed Juniper
810,Emory Oak
843,Silverleaf Oak
93,Engelmann Spruce
96,Blue Spruce
18,Corkbark Fir
93,Engelmann Spruce
15,White Fir
18,Corkbark Fir
93,Engelmann Spruce
202,Douglas-Fir
106,Common Or Two-Needle Pinyon
122,Ponderosa Pine
106,Common Or Two-Needle Pinyon
134,Border Pinyon
135,Arizona Pine
140,Mexican Pinyon Pine
313,Boxelder
353,Arizona Alder
732,Arizona Sycamore
748,Fremont Cottonwood
749,Narrowleaf Cottonwood
803,Arizona White Oak
814,Gambel Oak
829,Mexican Blue Oak
846,Gray Oak
102,Rocky Mountain Bristlecone Pine
113,Limber Pine
114,Southwestern White Pine
923,Bebb Willow
928,Scouler'S Willow
544,Green Ash
547,Velvet Ash
62,California Juniper
64,Western Juniper
65,Utah Juniper
66,Rocky Mountain Juniper
321,Rocky Mountain Maple
322,Bigtooth Maple
746,Quaking Aspen
748,Fremont Cottonwood
763,Chokecherry
352,White Alder
9902,Thinleaf Alder
9904,Sitka Alder
19,Subalpine Fir
93,Engelmann Spruce
746,Quaking Aspen
747,Black Cottonwood
748,Fremont Cottonwood
747,Black Cottonwood
748,Fremont Cottonwood
51,Arizona Cypress
52,Baker Or Modoc Cypress
53,Tecate Cypress
54,Monterey Cypress
55,Sargent'S Cypress
62,California Juniper
64,Western Juniper
65,Utah Juniper
92,Brewer Spruce
93,Engelmann Spruce
96,Blue Spruce
98,Sitka Spruce
263,Western Hemlock
264,Mountain Hemlock
747,Black Cottonwood
748,Fremont Cottonwood
811,Engelmann Oak
815,Oregon White Oak
821,California White Oak
801,California Live Oak
805,Canyon Live Oak
839,Interior Live Oak
133,Singleleaf Pinyon
138,Four-Leaf Or Parry Pinyon Pine
14,Santa Lucia Or Bristlecone Fir
15,White Fir
17,Grand Fir
19,Subalpine Fir
20,California Red Fir
101,Whitebark Pine
113,Limber Pine
117,Sugar Pine
119,Western White Pine
81,Incense-Cedar
109,Coulter Pine
116,Jeffrey Pine
122,Ponderosa Pine
109,Coulter Pine
116,Jeffrey Pine
122,Ponderosa Pine
137,Washoe Pine
202,Douglas-Fir
211,Redwood
801,California Live Oak
805,Canyon Live Oak
818,California Black Oak
821,California White Oak
801,California Live Oak
805,Canyon Live Oak
807,Blue Oak
818,California Black Oak
821,California White Oak
801,California Live Oak
805,Canyon Live Oak
811,Engelmann Oak
839,Interior Live Oak
807,Blue Oak
815,Oregon White Oak
818,California Black Oak
821,California White Oak
15,White Fir
20,California Red Fir
21,Shasta Red Fir
11,Pacific Silver Fir
15,White Fir
17,Grand Fir
20,California Red Fir
22,Noble Fir
11,Pacific Silver Fir
17,Grand Fir
22,Noble Fir
11,Pacific Silver Fir
15,White Fir
17,Grand Fir
19,Subalpine Fir
11,Pacific Silver Fir
17,Grand Fir
19,Subalpine Fir
108,Lodgepole Pine
122,Ponderosa Pine
101,Whitebark Pine
117,Sugar Pine
119,Western White Pine
15,White Fir
17,Grand Fir
19,Subalpine Fir
93,Engelmann Spruce
202,Douglas-Fir
17,Grand Fir
19,Subalpine Fir
93,Engelmann Spruce
202,Douglas-Fir
11,Pacific Silver Fir
17,Grand Fir
19,Subalpine Fir
20,California Red Fir
22,Noble Fir
11,Pacific Silver Fir
17,Grand Fir
19,Subalpine Fir
22,Noble Fir
15,White Fir
17,Grand Fir
202,Douglas-Fir
122,Ponderosa Pine
202,Douglas-Fir
316,Red Maple
833,Northern Red Oak
837,Black Oak
375,Paper Birch
833,Northern Red Oak
743,Bigtooth Aspen
746,Quaking Aspen
375,Paper Birch
743,Bigtooth Aspen
746,Quaking Aspen
12,Balsam Fir
94,White Spruce
95,Black Spruce
318,Sugar Maple
833,Northern Red Oak
837,Black Oak
318,Sugar Maple
531,American Beech
746,Quaking Aspen
317,Silver Maple
809,Northern Pin Oak
833,Northern Red Oak
802,White Oak
809,Northern Pin Oak
823,Bur Oak
833,Northern Red Oak
94,White Spruce
96,Blue Spruce
129,Eastern White Pine
541,White Ash
543,Black Ash
544,Green Ash
316,Red Maple
318,Sugar Maple
541,White Ash
972,American Elm
318,Sugar Maple
407,Shagbark Hickory
541,White Ash
951,American Basswood
972,American Elm
317,Silver Maple
541,White Ash
544,Green Ash
742,Eastern Cottonwood
922,Black Willow
317,Silver Maple
318,Sugar Maple
762,Black Cherry
951,American Basswood
318,Sugar Maple
541,White Ash
951,American Basswood
313,Boxelder
316,Red Maple
318,Sugar Maple
318,Sugar Maple
375,Paper Birch
951,American Basswood
802,White Oak
809,Northern Pin Oak
823,Bur Oak
833,Northern Red Oak
837,Black Oak
809,Northern Pin Oak
833,Northern Red Oak
837,Black Oak
802,White Oak
804,Swamp White Oak
823,Bur Oak
129,Eastern White Pine
130,Scotch Pine
136,Austrian Pine
94,White Spruce
96,Blue Spruce
318,Sugar Maple
371,Yellow Birch
375,Paper Birch
531,American Beech
316,Red Maple
317,Silver Maple
318,Sugar Maple
541,White Ash
544,Green Ash
313,Boxelder
317,Silver Maple
544,Green Ash
972,American Elm
318,Sugar Maple
407,Shagbark Hickory
462,Hackberry
802,White Oak
823,Bur Oak
105,Jack Pine
125,Red Pine
129,Eastern White Pine
130,Scotch Pine
136,Austrian Pine
110,Shortleaf Pine
122,Ponderosa Pine
129,Eastern White Pine
130,Scotch Pine
136,Austrian Pine
923,Bebb Willow
9915,Speckled Alder
316,Red Maple
318,Sugar Maple
833,Northern Red Oak
837,Black Oak
371,Yellow Birch
375,Paper Birch
379,Gray Birch
316,Red Maple
318,Sugar Maple
316,Red Maple
318,Sugar Maple
371,Yellow Birch
531,American Beech
802,White Oak
833,Northern Red Oak
125,Red Pine
126,Pitch Pine
129,Eastern White Pine
91,Norway Spruce
94,White Spruce
95,Black Spruce
97,Red Spruce
833,Northern Red Oak
837,Black Oak
541,White Ash
543,Black Ash
544,Green Ash
12,Balsam Fir
97,Red Spruce
261,Eastern Hemlock
833,Northern Red Oak
541,White Ash
544,Green Ash
546,Blue Ash
802,White Oak
806,Scarlet Oak
832,Chestnut Oak
833,Northern Red Oak
837,Black Oak
318,Sugar Maple
743,Bigtooth Aspen
762,Black Cherry
802,White Oak
833,Northern Red Oak
91,Norway Spruce
96,Blue Spruce
129,Eastern White Pine
130,Scotch Pine
136,Austrian Pine
802,White Oak
832,Chestnut Oak
833,Northern Red Oak
318,Sugar Maple
743,Bigtooth Aspen
806,Scarlet Oak
833,Northern Red Oak
91,Norway Spruce
96,Blue Spruce
129,Eastern White Pine
316,Red Maple
802,White Oak
833,Northern Red Oak
541,White Ash
544,Green Ash
318,Sugar Maple
743,Bigtooth Aspen
762,Black Cherry
806,Scarlet Oak
833,Northern Red Oak
110,Shortleaf Pine
126,Pitch Pine
129,Eastern White Pine
131,Loblolly Pine
132,Virginia Pine
105,Jack Pine
125,Red Pine
129,Eastern White Pine
130,Scotch Pine
316,Red Maple
371,Yellow Birch
802,White Oak
833,Northern Red Oak
837,Black Oak
71,Tamarack (Native)
95,Black Spruce
125,Red Pine
129,Eastern White Pine
409,Mockernut Hickory
611,Sweetgum
802,White Oak
812,Southern Red Oak
835,Post Oak
221,Baldcypress
544,Green Ash
611,Sweetgum
694,Swamp Tupelo
813,Cherrybark Oak
111,Slash Pine
121,Longleaf Pine
131,Loblolly Pine
110,Shortleaf Pine
111,Slash Pine
121,Longleaf Pine
131,Loblolly Pine
132,Virginia Pine
802,White Oak
806,Scarlet Oak
832,Chestnut Oak
833,Northern Red Oak
837,Black Oak
316,Red Maple
611,Sweetgum
691,Water Tupelo
827,Water Oak
831,Willow Oak
110,Shortleaf Pine
126,Pitch Pine
129,Eastern White Pine
131,Loblolly Pine
132,Virginia Pine
541,White Ash
544,Green Ash
316,Red Maple
611,Sweetgum
691,Water Tupelo
827,Water Oak
831,Willow Oak
541,White Ash
544,Green Ash
546,Blue Ash
110,Shortleaf Pine
126,Pitch Pine
129,Eastern White Pine
131,Loblolly Pine
132,Virginia Pine
611,Sweetgum
830,Pin Oak
831,Willow Oak
110,Shortleaf Pine
111,Slash Pine
115,Spruce Pine
121,Longleaf Pine
131,Loblolly Pine
110,Shortleaf Pine
131,Loblolly Pine
541,White Ash
544,Green Ash
545,Pumpkin Ash
546,Blue Ash
548,Carolina Ash
908,Coconut Palm
986,Black-Mangrove
989,American Mangrove
6203,Avicennia Marina
6284,Gregorywood
987,Buttonwood-Mangrove
6284,Gregorywood
6338,Antilles Calophyllum
7290,American Muskwood
8410,Dragonsblood Tree
303,Sweet Acacia
854,Gumbo Limbo
897,Tamarind
6284,Gregorywood
8340,Guasimilla
897,Tamarind
6284,Gregorywood
8173,Royen'S Tree Cactus
8340,Guasimilla
9918,Histrix Cactus
6114,Cabbagebark Tree
6441,Trumpet Tree
6867,Candletree
7829,Micropholis Guyanensis
8407,Pterocarpus
7231,Llume
8715,Roble De Sierra
8793,Ceboruquillo
9919,Ocatea Coffee Tree
6284,Gregorywood
6338,Antilles Calophyllum
6862,Swamp Titi
7290,American Muskwood
7442,Stinkingtoe
6012,Spineless Wattle
7135,Caribbean Princewood
7317,Oysterwood
7717,Spanish Lime
8679,Honduras Mahogany
