CODE,Title_Name
10000,Miscellaneous Insects and Allies
10001,Thrips
10002,Pine Tip Moths
10003,Wasp
10004,Chinese Rose Beetle
10005,Rose Beetle
10006,Coconut Hispid Beetle
10007,Clerid Beetle
10008,Weevil
10009,Green Rose Chafer
10010,Allegheny Mound Ant
10011,Ants
10012,Stick Insect
10013,<Hulodes Caranea>
10014,Conifer Swift Moth
10015,Caroline Shortnosed Weevil
10016,Coconut Rhinoceros Beetle
10017,Bagworm Moth
10018,Coconut Palm Weevil
10019,Scarab
10020,Ash Whitefly
10021,Conifer Seedling Weevil
10022,Pyralid Moth
10023,Horntails
10024,Eurytomid Wasps
10025,Blister Beetle
10600,Predatory Insects and Allies
10601,Clerid Beetle
10602,Lacewings
10603,Blackbellied Clerid
10604,Redbellied Clerid
10605,Red Wood Ant
10606,Western Yellowjacket
10800,"Other Miscellaneous Insect or Ally, Known, (Code Pending)"
10801,Other Predatory Insect or Ally (Known)
10900,Unknown Miscellaneous Insect Or Ally
10901,Unknown Predator Insect or Ally
11000,Bark Beetles
11001,Roundheaded Pine Beetle
11002,Western Pine Beetle
11003,Southern Pine Beetle
11004,Jeffrey Pine Beetle
11005,Lodgepole Pine Beetle
11006,Mountain Pine Beetle
11007,Douglas-fir Beetle
11008,Boreal Spruce Beetle
11009,Spruce Beetle
11010,Eastern Larch Beetle
11011,Black Turpentine Beetle
11012,Red Turpentine Beetle
11013,Goldhaired Spruce Engraver
11014,<Dryocoetes Autographus>
11015,Western Balsam Bark Beetle
11016,<Dryocoetes Sechelti>
11017,Ash Bark Beetles
11018,Native Elm Bark Beetle
11019,Pinyon Ips
11020,Small Southern Pine Engraver
11021,Sixspined Ips
11022,Emarginate Ips
11023,Eastern Fivespined Ips
11024,<Orthotomicus Latidens>
11025,Arizona Fivespined Ips
11026,False Pine Engraver
11027,California Fivespined Ips
11028,Northern Spruce Engraver
11029,Pine Engraver
11030,Ips Engraver Beetles
11031,Lesser Spruce Engraver
11032,Western Ash Bark Beetle
11033,Oregon Ash Bark Beetle
11034,<Orthotomicus Caelatus>
11035,Cedar & Cypress Bark Beetles
11036,Western Cedar Bark Beetle
11037,Tip Beetles
